Problem 4
A, m, coins, time
2051, 70, [1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 68 ],  10
2052, 69, [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 68 ],  10
2053, 70, [1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 68 ],  10
2054, 69, [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 68 ],  10
2055, 70, [1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 68 ],  10
2056, 69, [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 68 ],  10
2057, 70, [1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 68 ],  10
2058, 69, [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 68 ],  10
2059, 70, [1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 68 ],  10
2060, 69, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 68 ],  10
2061, 70, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 68 ],  10
2062, 69, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 68 ],  10
2063, 70, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 68 ],  10
2064, 69, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 68 ],  10
2065, 70, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 68 ],  10
2066, 69, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 68 ],  10
2067, 70, [1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 68 ],  11
2068, 69, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 68 ],  11
2069, 70, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 68 ],  11
2070, 69, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2071, 70, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2072, 70, [0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2073, 71, [1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
